longitude,latitude,rank
-180.0,2.0,1
-180.0,3.0,1
-180.0,4.0,1
-180.0,5.0,1
-180.0,6.0,1
-180.0,7.0,1
-180.0,8.0,1
-180.0,9.0,1
-180.0,10.0,1
-180.0,11.0,1
-180.0,12.0,1
-180.0,24.0,1
-180.0,25.0,1
-180.0,26.0,1
-180.0,31.0,1
-180.0,32.0,1
-180.0,35.0,1
-180.0,36.0,1
-180.0,38.0,1
-180.0,39.0,1
-180.0,41.0,1
-180.0,42.0,1
-180.0,46.0,1
-180.0,47.0,1
-180.0,48.0,1
-180.0,53.0,1
-180.0,55.0,2
-180.0,57.0,2
-180.0,69.0,2
-180.0,70.0,2
-180.0,84.0,2
-180.0,88.0,2
-180.0,89.0,2
-180.0,90.0,2
-179.0,-60.0,2
-179.0,-6.0,1
-179.0,3.0,1
-179.0,5.0,1
-179.0,6.0,1
-179.0,7.0,1
-179.0,9.0,1
-179.0,10.0,1
-179.0,11.0,1
-179.0,12.0,1
-179.0,13.0,1
-179.0,21.0,1
-179.0,24.0,1
-179.0,25.0,1
-179.0,28.0,1
-179.0,30.0,1
-179.0,31.0,1
-179.0,35.0,1
-179.0,36.0,1
-179.0,37.0,1
-179.0,38.0,1
-179.0,39.0,1
-179.0,41.0,1
-179.0,42.0,1
-179.0,43.0,1
-179.0,44.0,1
-179.0,47.0,1
-179.0,48.0,1
-179.0,49.0,1
-179.0,50.0,1
-179.0,51.0,1
-179.0,52.0,1
-179.0,56.0,2
-179.0,57.0,2
-179.0,59.0,2
-179.0,69.0,2
-179.0,83.0,2
-179.0,84.0,2
-179.0,85.0,2
-179.0,87.0,2
-179.0,88.0,2
-179.0,89.0,2
-179.0,90.0,2
-178.0,-8.0,1
-178.0,6.0,1
-178.0,7.0,1
-178.0,8.0,1
-178.0,9.0,1
-178.0,10.0,1
-178.0,11.0,1
-178.0,12.0,1
-178.0,13.0,1
-178.0,17.0,1
-178.0,18.0,1
-178.0,19.0,1
-178.0,23.0,1
-178.0,24.0,1
-178.0,25.0,1
-178.0,26.0,1
-178.0,27.0,1
-178.0,28.0,1
-178.0,29.0,1
-178.0,30.0,1
-178.0,31.0,1
-178.0,36.0,1
-178.0,37.0,1
-178.0,38.0,1
-178.0,39.0,1
-178.0,40.0,1
-178.0,41.0,1
-178.0,42.0,1
-178.0,43.0,1
-178.0,44.0,1
-178.0,45.0,1
-178.0,46.0,1
-178.0,47.0,1
-178.0,48.0,1
-178.0,50.0,1
-178.0,51.0,1
-178.0,52.0,1
-178.0,54.0,1
-178.0,55.0,1
-178.0,56.0,2
-178.0,57.0,2
-178.0,62.0,2
-178.0,83.0,2
-178.0,84.0,2
-178.0,87.0,2
-178.0,88.0,2
-178.0,89.0,2
-178.0,90.0,2
-177.0,-56.0,2
-177.0,5.0,1
-177.0,6.0,1
-177.0,7.0,1
-177.0,11.0,1
-177.0,12.0,1
-177.0,13.0,1
-177.0,14.0,1
-177.0,15.0,1
-177.0,16.0,1
-177.0,17.0,1
-177.0,18.0,1
-177.0,19.0,1
-177.0,20.0,1
-177.0,21.0,1
-177.0,29.0,1
-177.0,36.0,1
-177.0,37.0,1
-177.0,38.0,1
-177.0,39.0,1
-177.0,40.0,1
-177.0,41.0,1
-177.0,42.0,1
-177.0,43.0,1
-177.0,44.0,1
-177.0,45.0,1
-177.0,46.0,1
-177.0,47.0,1
-177.0,48.0,1
-177.0,51.0,1
-177.0,54.0,1
-177.0,55.0,1
-177.0,56.0,2
-177.0,57.0,2
-177.0,64.0,2
-177.0,66.0,2
-177.0,68.0,2
-177.0,77.0,2
-177.0,83.0,2
-177.0,84.0,2
-177.0,88.0,2
-177.0,89.0,2
-177.0,90.0,2
-176.0,5.0,1
-176.0,6.0,1
-176.0,7.0,1
-176.0,10.0,1
-176.0,11.0,1
