mission,country,year,latitude_mission,longitude_mission,notes,success_landing,grid_lat,grid_lon,latitude_gcm,longitude_gcm,temperature_min,temperature_max,temperature_mean,extvar_40_min,extvar_40_max,extvar_40_mean,extvar_19_min,extvar_19_max,extvar_19_mean,extvar_28_min,extvar_28_max,extvar_28_mean,extvar_25_min,extvar_25_max,extvar_25_mean,atm_pressure_min,atm_pressure_max,atm_pressure_mean,windspeed_min,windspeed_max,windspeed_mean,longitude,latitude,rank
Mars 3,USSR,1971,-45.0,202.3,Partial success - lost contact after 110 seconds,1,-45.0,202.0,-45.0,202.0,189.151642,189.151642,189.151642,0.004924,0.004924,0.004924,478.024353,478.024353,478.024353,0.007438,0.007438,0.007438,0.000358,0.000358,0.000358,477.925507,477.925507,477.925507,3.3032449622668008,3.3032449622668008,3.3032449622668008,0.0,0.0,3.0
Viking 1,USA,1976,22.27,312.05,Chryse Planitia,1,22.0,312.0,22.0,312.0,196.580673,196.580673,196.580673,0.011265,0.011265,0.011265,790.086243,790.086243,790.086243,0.006094,0.006094,0.006094,-6e-06,-6e-06,-6e-06,789.932678,789.932678,789.932678,0.0,0.0,0.0,0.0,0.0,3.0
Viking 2,USA,1976,47.97,225.71,Utopia Planitia,1,48.0,226.0,48.0,226.0,174.848816,174.848816,174.848816,0.004923,0.004923,0.004923,698.127686,698.127686,698.127686,0.001367,0.001367,0.001367,-4.9e-05,-4.9e-05,-4.9e-05,697.971558,697.971558,697.971558,5.788172395347344,5.788172395347344,5.788172395347344,0.0,0.0,3.0
Mars Pathfinder,USA,1997,19.13,326.78,Ares Vallis,1,19.0,327.0,19.0,327.0,205.113174,205.113174,205.113174,0.011284,0.011284,0.011284,793.545227,793.545227,793.545227,0.00728,0.00728,0.00728,-5.9e-05,-5.9e-05,-5.9e-05,793.393921,793.393921,793.393921,2.056624373062081,2.056624373062081,2.056624373062081,0.0,0.0,3.0
MER-A Spirit,USA,2004,-14.5692,175.4729,Gusev Crater,1,-15.0,175.0,-15.0,175.0,194.054733,194.054733,194.054733,0.008498,0.008498,0.008498,619.316406,619.316406,619.316406,0.002497,0.002497,0.002497,-4.4e-05,-4.4e-05,-4.4e-05,619.191833,619.191833,619.191833,5.926615252021174,5.926615252021174,5.926615252021174,175.0,-15.0,1.0
MER-B Opportunity,USA,2004,-1.9462,354.4734,Meridiani Planum,1,-2.0,354.0,-2.0,354.0,203.05423,203.05423,203.05423,0.010039,0.010039,0.010039,655.161011,655.161011,655.161011,0.005483,0.005483,0.005483,-2e-05,-2e-05,-2e-05,655.035034,655.035034,655.035034,1.3643280316126325,1.3643280316126325,1.3643280316126325,0.0,0.0,3.0
Phoenix,USA,2008,68.22,234.25,Vastitas Borealis,1,68.0,234.0,68.0,234.0,154.117996,154.117996,154.117996,0.000456,0.000456,0.000456,814.315674,814.315674,814.315674,0.001012,0.001012,0.001012,-5e-06,-5e-06,-5e-06,814.108154,814.108154,814.108154,5.167316482109162,5.167316482109162,5.167316482109162,0.0,0.0,3.0
Curiosity (MSL),USA,2012,-4.5895,137.4417,Gale Crater,1,-5.0,137.0,-5.0,137.0,201.444321,201.444321,201.444321,0.008808,0.008808,0.008808,659.119995,659.119995,659.119995,0.002838,0.002838,0.002838,-7.7e-05,-7.7e-05,-7.7e-05,658.992249,658.992249,658.992249,3.590138741066423,3.590138741066423,3.590138741066423,0.0,0.0,3.0
InSight,USA,2018,4.5,135.9,Elysium Planitia,1,4.0,136.0,4.0,136.0,202.070053,202.070053,202.070053,0.010486,0.010486,0.010486,734.491699,734.491699,734.491699,0.001806,0.001806,0.001806,-6.3e-05,-6.3e-05,-6.3e-05,734.34967,734.34967,734.34967,1.974825083878823,1.974825083878823,1.974825083878823,136.0,4.0,1.0
Perseverance,USA,2021,18.4447,77.4508,Jezero Crater,1,18.0,77.0,18.0,77.0,201.710526,201.710526,201.710526,0.010533,0.010533,0.010533,696.575317,696.575317,696.575317,0.007881,0.007881,0.007881,-4.8e-05,-4.8e-05,-4.8e-05,696.44043,696.44043,696.44043,0.6873200364175338,0.6873200364175338,0.6873200364175338,0.0,0.0,3.0
